Country_Name,Country_Code,Year,Month,Product_Code,Product_Name,Product_Category,Region,Export_Value_USD,Export_Units
Australia,AUS,2021,5,P002,Electronic Components,Electronics,Oceania,3243610,489.0
China,CHN,2019,11,P008,Steel Materials,Metals,Asia,2180896,1417.0
China,CHN,2023,4,P006,Pharmaceutical Products,Healthcare,Asia,518062,1180.0
Australia,AUS,2023,2,P003,Textile Materials,Textiles,Oceania,51535,683.0
United States,USA,2021,11,P003,Textile Materials,Textiles,North America,122141,971.0
China,CHN,2022,9,P003,Textile Materials,Textiles,Asia,-35164,1516.0
Australia,AUS,2019,5,P005,Agricultural Goods,Agriculture,Oceania,1146699,1350.0
,FRA,2020,11,P003,Textile Materials,Textiles,Europe,4738511,1525.0
France,FRA,2020,10,P005,Agricultural Goods,Agriculture,Europe,2994583,1039.0
Japan,JPN,2022,2,P005,Agricultural Goods,Agriculture,Asia,2586,373.0
United Kingdom,GBR,2022,3,P006,Pharmaceutical Products,Healthcare,Europe,2608316,842.0
Brazil,BRA,2023,7,P007,Automobiles,Automobile,South America,1582642,1176.0
Australia,AUS,2022,5,P008,Steel Materials,Metals,Oceania,3672244,668.0
India,IND,2022,10,P005,Agricultural Goods,Agriculture,asia,4988330,1427.0
United Kingdom,GBR,2021,1,P007,Automobiles,Automobile,Europe,2860322,1377.0
France,FRA,2019,3,P010,Computer Hardware,Electronics,Europe,311023,856.0
Australia,AUS,2023,1,P007,Automobiles,Automobile,Oceania,-119968,1760.0
China,CHN,2023,6,P006,Pharmaceutical Products,Healthcare,Asia,863165,854.0
,CAN,2021,6,P001,Crude Oil,Fuel,North America,419429,903.0
France,FRA,2020,12,P010,Computer Hardware,Electronics,Europe,-69202,1245.0
Germany,DEU,2023,12,P001,Crude Oil,Fuel,Europe,421870,253.0
France,FRA,2019,12,P008,Steel Materials,Metals,Europe,658319,1118.0
Canada,CAN,2021,9,P009,Processed Foods,Food,North America,2471974,1434.0
Brazil,BRA,2020,12,P005,Agricultural Goods,Agriculture,South America,3602055,699.0
Australia,AUS,2022,6,P007,Automobiles,Automobile,Oceania,728730,1599.0
Canada,CAN,2020,9,P004,Industrial Machinery,Machinery,North America,1774426,1960.0
,AUS,2020,1,P004,Industrial Machinery,Machinery,Oceania,340521,896.0
China,CHN,2022,8,P007,Automobiles,Automobile,Asia,4957114,458.0
Australia,AUS,2020,7,P001,Crude Oil,Fuel,Oceania,974622,
Brazil,BRA,2019,5,P001,Crude Oil,Fuel,South America,4264409,917.0
China,CHN,2022,5,P009,,Food,Asia,1117419,310.0
United Kingdom,GBR,2023,11,P005,Agricultural Goods,Agriculture,Europe,1120354,409.0
China,CHN,2021,4,P008,Steel Materials,Metals,Asia,-442705,584.0
India,IND,2021,12,P005,Agricultural Goods,Agriculture,Asia,1482249,1532.0
Brazil,BRA,2021,6,P002,Electronic Components,Electronics,South America,4655851,1187.0
Australia,AUS,2023,11,P008,Steel Materials,Metals,Oceania,1332169,433.0
United Kingdom,GBR,2023,2,P002,Electronic Components,Electronics,Europe,18064,844.0
Germany,DEU,2022,2,P010,Computer Hardware,Electronics,Europe,3781338,285.0
Brazil,BRA,2022,5,P001,Crude Oil,Fuel,south america,-474705,1705.0
United States,USA,2019,5,P008,Steel Materials,Metals,North America,2929824,1492.0
Japan,JPN,2022,7,P008,Steel Materials,Metals,Asia,173185,457.0
Germany,DEU,2019,5,P001,Crude Oil,Fuel,Europe,3383958,1429.0
UNITED STATES,USA,2022,10,P001,Crude Oil,Fuel,North America,-368754,1801.0
Germany,DEU,2022,8,P001,Crude Oil,Fuel,Europe,1465780,856.0
France,FRA,2023,10,P006,Pharmaceutical Products,Healthcare,Europe,2189933,535.0
AUSTRALIA,AUS,2020,11,P010,Computer Hardware,Electronics,Oceania,3083618,1188.0
Japan,JPN,2020,5,P007,Automobiles,Automobile,Asia,2657976,426.0
India,IND,2022,7,P009,Processed Foods,Food,Asia,4174860,341.0
United Kingdom,GBR,2023,12,P002,electronic components,Electronics,Europe,1097875,155.0
France,FRA,2020,8,P009,Processed Foods,Food,Europe,1252288,1830.0
Canada,CAN,2023,12,P004,Industrial Machinery,Machinery,North America,1215580,583.0
Brazil,BRA,2023,8,P006,Pharmaceutical Products,Healthcare,South America,3409125,251.0
Germany,DEU,2019,5,P003,Textile Materials,Textiles,Europe,4141513,1964.0
Australia,AUS,2021,8,P006,Pharmaceutical Products,Healthcare,Oceania,4882923,1564.0
China,CHN,2019,9,P009,Processed Foods,Food,Asia,-216266,529.0
Germany,DEU,2020,1,P002,Electronic Components,Electronics,Europe,1334753,1085.0
CANADA,CAN,2019,9,P001,Crude Oil,Fuel,North America,4127521,1346.0
Japan,JPN,2019,2,P003,Textile Materials,Textiles,Asia,3898863,647.0
United Kingdom,GBR,2022,10,P007,Automobiles,Automobile,Europe,1540175,1408.0
INDIA,IND,2022,7,P002,Electronic Components,Electronics,asia,2663927,1181.0
United Kingdom,GBR,2019,9,P010,Computer Hardware,Electronics,Europe,-143050,292.0
BRAZIL,BRA,2023,11,P009,Processed Foods,Food,South America,-224000,417.0
United States,USA,2020,10,P005,Agricultural Goods,Agriculture,North America,1517226,1210.0
United States,USA,2021,1,P009,Processed Foods,Food,North America,319447,1228.0
United Kingdom,GBR,2021,8,P001,Crude Oil,Fuel,Europe,3615480,517.0
France,FRA,2020,12,P005,Agricultural Goods,Agriculture,Europe,116618,218.0
United States,USA,2019,5,P002,Electronic Components,Electronics,North America,3230714,787.0
United States,USA,2019,6,P001,Crude Oil,Fuel,north america,4149132,240.0
Australia,AUS,2023,9,P004,Industrial Machinery,Machinery,Oceania,922564,1453.0
Brazil,BRA,2021,8,P007,Automobiles,Automobile,South America,145263,789.0
China,CHN,2019,7,P005,Agricultural Goods,Agriculture,Asia,2286839,1773.0
France,FRA,2021,6,P003,Textile Materials,Textiles,Europe,4560102,223.0
Canada,CAN,2020,6,P010,Computer Hardware,Electronics,North America,2654580,624.0
Australia,AUS,2022,12,P001,Crude Oil,Fuel,oceania,1258658,947.0
China,CHN,2020,5,P005,Agricultural Goods,Agriculture,Asia,793047,1514.0
Australia,AUS,2023,1,P007,Automobiles,Automobile,Oceania,2515951,998.0
France,FRA,2021,7,P007,Automobiles,Automobile,Europe,388727,1423.0
Canada,CAN,2022,8,P006,Pharmaceutical Products,Healthcare,north america,4437450,1330.0
United States,USA,2021,5,P003,Textile Materials,Textiles,North America,2377851,457.0
United States,USA,2019,12,P005,Agricultural Goods,Agriculture,North America,465405,96.0
China,CHN,2020,6,P009,Processed Foods,Food,Asia,4196353,923.0
INDIA,IND,2020,8,P010,Computer Hardware,Electronics,Asia,4467760,
France,FRA,2023,3,P002,Electronic Components,Electronics,Europe,2568494,1488.0
France,FRA,2023,7,P007,Automobiles,Automobile,Europe,4424152,283.0
France,FRA,2019,11,P010,Computer Hardware,Electronics,Europe,623635,1616.0
France,FRA,2023,7,P003,Textile Materials,Textiles,Europe,3048706,430.0
Canada,CAN,2020,3,P005,Agricultural Goods,Agriculture,North America,2138888,1774.0
Japan,JPN,2023,11,P009,Processed Foods,Food,Asia,3652108,887.0
Germany,DEU,2019,5,P005,Agricultural Goods,Agriculture,Europe,1386123,1151.0
United States,USA,2019,5,P010,Computer Hardware,Electronics,North America,4055904,1736.0
Japan,JPN,2020,5,P002,Electronic Components,Electronics,Asia,-229632,
Germany,DEU,2023,12,P004,Industrial Machinery,Machinery,Europe,2441304,1813.0
United Kingdom,GBR,2021,10,P009,Processed Foods,Food,Europe,4019518,394.0
United States,USA,2022,1,P003,Textile Materials,Textiles,North America,1826358,1225.0
Japan,JPN,2020,10,P008,Steel Materials,Metals,Asia,4804972,600.0
Brazil,BRA,2022,8,P006,Pharmaceutical Products,Healthcare,South America,2245501,704.0
United Kingdom,GBR,2023,7,P002,Electronic Components,Electronics,Europe,1327289,
CANADA,CAN,2019,1,P006,Pharmaceutical Products,Healthcare,North America,335293,1332.0
Japan,JPN,2020,11,P004,Industrial Machinery,Machinery,Asia,2032231,375.0
India,IND,2021,12,P007,Automobiles,Automobile,asia,1464140,519.0
Canada,CAN,2019,12,P001,Crude Oil,Fuel,North America,2382108,361.0
United States,USA,2021,6,P002,Electronic Components,Electronics,North America,2010335,330.0
Australia,AUS,2019,10,P010,Computer Hardware,Electronics,Oceania,4952764,386.0
Canada,CAN,2019,2,P004,Industrial Machinery,Machinery,North America,674515,1263.0
Brazil,BRA,2020,9,P002,Electronic Components,Electronics,South America,4541545,1278.0
Australia,AUS,2023,4,P010,Computer Hardware,Electronics,Oceania,2786245,788.0
France,FRA,2023,1,P002,Electronic Components,Electronics,Europe,2529111,1962.0
Canada,CAN,2019,10,P002,Electronic Components,Electronics,North America,66504,78.0
Australia,AUS,2022,12,P007,Automobiles,Automobile,Oceania,2874547,1846.0
Australia,AUS,2022,10,P006,Pharmaceutical Products,Healthcare,Oceania,4820845,675.0
,JPN,2022,10,P002,Electronic Components,Electronics,Asia,4607256,162.0
India,IND,2022,6,P003,Textile Materials,Textiles,Asia,3887286,1109.0
India,IND,2022,5,P006,Pharmaceutical Products,Healthcare,Asia,3894407,180.0
Canada,CAN,2020,6,P010,,Electronics,North America,819611,595.0
India,IND,2019,8,P004,industrial machinery,Machinery,Asia,2553256,
Japan,JPN,2021,4,P004,Industrial Machinery,Machinery,Asia,2991813,1925.0
China,CHN,2023,1,P004,Industrial Machinery,Machinery,Asia,2863201,191.0
United Kingdom,GBR,2021,10,P004,Industrial Machinery,Machinery,Europe,2049376,1942.0
,AUS,2020,1,P004,Industrial Machinery,Machinery,Oceania,2939632,1556.0
Japan,JPN,2019,4,P005,Agricultural Goods,Agriculture,asia,3944406,537.0
Germany,DEU,2022,12,P009,Processed Foods,Food,Europe,2624689,107.0
India,IND,2020,4,P007,Automobiles,Automobile,Asia,1946755,584.0
Germany,DEU,2020,3,P002,Electronic Components,Electronics,Europe,4404886,736.0
Germany,DEU,2021,8,P008,Steel Materials,Metals,Europe,1723047,1541.0
Germany,DEU,2020,2,P006,Pharmaceutical Products,Healthcare,Europe,1582210,778.0
,JPN,2023,12,P008,Steel Materials,Metals,Asia,4114748,705.0
,DEU,2020,7,P003,Textile Materials,Textiles,Europe,2622573,598.0
CANADA,CAN,2019,6,P003,Textile Materials,Textiles,North America,527836,137.0
Japan,JPN,2020,6,P007,Automobiles,Automobile,Asia,1301169,1645.0
Brazil,BRA,2022,9,P008,Steel Materials,Metals,South America,3518402,1344.0
Australia,AUS,2022,12,P001,,Fuel,Oceania,2512450,1032.0
France,FRA,2019,5,P004,Industrial Machinery,Machinery,Europe,-8502,1706.0
Germany,DEU,2023,12,P005,Agricultural Goods,Agriculture,Europe,-31005,840.0
China,CHN,2020,10,P003,Textile Materials,Textiles,asia,2167613,1701.0
,FRA,2022,9,P004,Industrial Machinery,Machinery,europe,2092525,409.0
,GBR,2020,3,P010,Computer Hardware,Electronics,Europe,2358494,534.0
China,CHN,2023,6,P002,Electronic Components,Electronics,Asia,108439,815.0
Japan,JPN,2021,3,P008,Steel Materials,Metals,Asia,4214207,1470.0
China,CHN,2019,12,P003,Textile Materials,Textiles,Asia,4305286,1454.0
United States,USA,2020,6,P008,Steel Materials,Metals,North America,152689,537.0
United Kingdom,GBR,2019,5,P008,Steel Materials,Metals,Europe,1258959,336.0
Japan,JPN,2022,8,P003,Textile Materials,Textiles,Asia,2676871,769.0
China,CHN,2019,1,P008,Steel Materials,Metals,Asia,1973872,91.0
United States,USA,2019,6,P009,Processed Foods,Food,North America,4483089,1306.0
India,IND,2021,4,P002,Electronic Components,Electronics,Asia,1093703,888.0
Canada,CAN,2019,6,P003,,Textiles,North America,-467993,227.0
China,CHN,2019,8,P005,Agricultural Goods,Agriculture,Asia,468959,681.0
United Kingdom,GBR,2021,3,P007,Automobiles,Automobile,Europe,3239434,141.0
United States,USA,2021,9,P002,Electronic Components,Electronics,North America,2972771,1184.0
Canada,CAN,2020,8,P010,Computer Hardware,Electronics,North America,2006953,211.0
France,FRA,2019,8,P003,Textile Materials,Textiles,Europe,950213,423.0
Japan,JPN,2020,10,P004,Industrial Machinery,Machinery,Asia,1663307,958.0
India,IND,2023,9,P010,Computer Hardware,Electronics,Asia,3019808,280.0
United States,USA,2019,5,P010,Computer Hardware,Electronics,North America,3993219,1852.0
CHINA,CHN,2022,3,P005,Agricultural Goods,Agriculture,Asia,4686210,1296.0
Brazil,BRA,2019,6,P006,Pharmaceutical Products,Healthcare,South America,2042209,686.0
Brazil,BRA,2021,5,P008,Steel Materials,Metals,South America,2996143,92.0
,GBR,2023,3,P001,Crude Oil,Fuel,Europe,50435,687.0
Germany,DEU,2020,1,P001,Crude Oil,Fuel,Europe,3328968,153.0
United States,USA,2020,6,P001,Crude Oil,Fuel,North America,3600240,1266.0
Brazil,BRA,2021,1,P002,Electronic Components,Electronics,South America,2742747,70.0
Germany,DEU,2022,9,P005,Agricultural Goods,Agriculture,Europe,-331789,1812.0
France,FRA,2021,7,P005,Agricultural Goods,Agriculture,Europe,2658104,1794.0
France,FRA,2019,9,P002,Electronic Components,Electronics,Europe,2639266,1199.0
Brazil,BRA,2021,4,P005,Agricultural Goods,Agriculture,South America,757698,1612.0
China,CHN,2022,5,P001,Crude Oil,Fuel,Asia,1676225,1907.0
United Kingdom,GBR,2023,11,P004,Industrial Machinery,Machinery,Europe,3490756,1906.0
United States,USA,2020,12,P008,Steel Materials,Metals,North America,1669728,1814.0
Brazil,BRA,2021,6,P007,Automobiles,Automobile,South America,1685729,1249.0
France,FRA,2022,4,P002,Electronic Components,Electronics,Europe,3698308,295.0
United Kingdom,GBR,2023,8,P007,Automobiles,Automobile,Europe,701451,1588.0
India,IND,2021,4,P008,Steel Materials,Metals,Asia,914367,850.0
Japan,JPN,2022,7,P007,Automobiles,Automobile,Asia,-460833,1638.0
India,IND,2020,4,P001,Crude Oil,Fuel,Asia,2388615,1738.0
Brazil,BRA,2023,10,P008,Steel Materials,Metals,South America,3896617,741.0
Germany,DEU,2022,1,P003,Textile Materials,Textiles,europe,1416111,1808.0
India,IND,2021,9,P007,automobiles,Automobile,Asia,4727233,1572.0
Japan,JPN,2023,5,P002,electronic components,Electronics,Asia,3479524,1835.0
Australia,AUS,2023,10,P005,Agricultural Goods,Agriculture,Oceania,650611,1917.0
France,FRA,2021,9,P004,Industrial Machinery,Machinery,europe,1191757,783.0
United Kingdom,GBR,2019,1,P004,Industrial Machinery,Machinery,Europe,246609,334.0
UNITED STATES,USA,2020,8,P005,Agricultural Goods,Agriculture,North America,1983214,590.0
United Kingdom,GBR,2019,2,P007,Automobiles,Automobile,Europe,-115055,929.0
United States,USA,2021,3,P006,Pharmaceutical Products,Healthcare,North America,454892,870.0
China,CHN,2020,12,P002,Electronic Components,Electronics,Asia,-8039,1183.0
France,FRA,2021,10,P007,Automobiles,Automobile,Europe,-258272,1766.0
United Kingdom,GBR,2023,12,P001,Crude Oil,Fuel,Europe,4337282,913.0
United States,USA,2020,8,P007,,Automobile,North America,2400356,1409.0
China,CHN,2022,8,P009,Processed Foods,Food,Asia,887508,203.0
Japan,JPN,2020,2,P007,Automobiles,Automobile,Asia,3351164,959.0
India,IND,2022,7,P002,Electronic Components,Electronics,Asia,-199420,244.0
Australia,AUS,2022,6,P004,Industrial Machinery,Machinery,Oceania,2547937,1768.0
United Kingdom,GBR,2019,2,P008,Steel Materials,Metals,Europe,1360149,54.0
United States,USA,2020,8,P001,Crude Oil,Fuel,North America,678173,1733.0
Canada,CAN,2021,2,P004,Industrial Machinery,Machinery,North America,2976829,137.0
Canada,CAN,2023,12,P001,Crude Oil,Fuel,North America,-92552,1183.0
France,FRA,2020,2,P003,Textile Materials,Textiles,Europe,2749793,1396.0
Brazil,BRA,2021,5,P007,Automobiles,Automobile,South America,3298745,1193.0
Australia,AUS,2023,11,P006,Pharmaceutical Products,Healthcare,Oceania,1323201,1951.0
